statement_id,date,description,amount,identified_partner,category
1,11.04.2025,KARTENZ./11.04 EDEKA RO,-64.97,EDEKA,Groceries
1,13.04.2025,MCDONALDS Seelow,-35.81,MCDONALDS,Dining
1,16.04.2025,BURGER KING Wismar,-16.75,BURGER KING,Dining
1,18.04.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.12,ZEUS BODYPOWER,Gym
1,21.04.2025,PAYPAL XUBVUF,-72.41,PAYPAL,General
1,23.04.2025,BEITRAG Allianz SE K-29921652,-55.76,Allianz SE,Insurance
2,14.02.2025,ABSCHLAG STROM Stadtwerke Rosenheim 94236955,-86.77,Stadtwerke Rosenheim,Electricity
2,16.02.2025,RECHNUNG VODAFONE GMBH 81423328,-39.65,VODAFONE GMBH,Internet
2,20.02.2025,BEITRAG Allianz SE K-91393869,-54.49,Allianz SE,Insurance
2,21.02.2025,KARTENZ./21.02 REWE RO,-111.51,REWE,Groceries
2,24.02.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.35,ZEUS BODYPOWER,Gym
3,24.02.2025,MCDONALDS Aachen,-13.92,MCDONALDS,Dining
3,28.02.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.85,ZEUS BODYPOWER,Gym
3,01.03.2025,ZALANDO MKTPLC EU ATKHSW,-72.11,ZALANDO,Shopping
4,27.09.2023,AMAZON.DE MKTPLC EU DWLNBD,-188.34,AMAZON.DE,Shopping
4,29.09.2023,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.6,ZEUS BODYPOWER,Gym
4,02.10.2023,RECHNUNG VODAFONE GMBH 43408064,-39.26,VODAFONE GMBH,Internet
4,03.10.2023,BURGER KING Gifhorn,-31.83,BURGER KING,Dining
4,05.10.2023,BEITRAG Allianz SE K-90949889,-55.67,Allianz SE,Insurance
4,07.10.2023,ABSCHLAG STROM Stadtwerke Rosenheim 39557599,-86.92,Stadtwerke Rosenheim,Electricity
5,13.10.2023,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.69,ZEUS BODYPOWER,Gym
5,15.10.2023,RECHNUNG VODAFONE GMBH 48255531,-39.0,VODAFONE GMBH,Internet
5,19.10.2023,KARTENZ./19.10 EDEKA RO,-118.14,EDEKA,Groceries
5,21.10.2023,PAYPAL PFTUSH,-37.22,PAYPAL,General
5,23.10.2023,ABSCHLAG STROM Stadtwerke Rosenheim 84702767,-85.81,Stadtwerke Rosenheim,Electricity
5,27.10.2023,BEITRAG Allianz SE K-35506483,-54.08,Allianz SE,Insurance
6,16.07.2025,EBAY MKTPLC EU BTACUT,-28.5,EBAY,Shopping
6,18.07.2025,BEITRAG Allianz SE K-66425710,-53.43,Allianz SE,Insurance
6,19.07.2025,EBAY MKTPLC EU GOFPHQ,-53.32,EBAY,Shopping
7,28.11.2024,BURGER KING Wernigerode,-22.39,BURGER KING,Dining
7,02.12.2024,ABSCHLAG STROM Stadtwerke Rosenheim 11911497,-85.63,Stadtwerke Rosenheim,Electricity
7,06.12.2024,BEITRAG Allianz SE K-99275379,-54.66,Allianz SE,Insurance
8,24.08.2024,EBAY MKTPLC EU MULGUV,-137.65,EBAY,Shopping
8,27.08.2024,KARTENZAHLUNG SHELL TANKSTELLE,-63.09,SHELL,Fuel
8,28.08.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.05,ZEUS BODYPOWER,Gym
9,01.04.2025,RECHNUNG VODAFONE GMBH 26432426,-41.37,VODAFONE GMBH,Internet
9,05.04.2025,ABSCHLAG STROM Stadtwerke Rosenheim 50704860,-84.13,Stadtwerke Rosenheim,Electricity
9,06.04.2025,BEITRAG Allianz SE K-3256986,-57.52,Allianz SE,Insurance
9,09.04.2025,PAYPAL JKTGJV,-71.98,PAYPAL,General
9,11.04.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.02,ZEUS BODYPOWER,Gym
10,19.02.2024,EBAY MKTPLC EU DLIICW,-144.1,EBAY,Shopping
10,22.02.2024,ABSCHLAG STROM Stadtwerke Rosenheim 79695936,-85.65,Stadtwerke Rosenheim,Electricity
10,23.02.2024,BEITRAG Allianz SE K-52034006,-56.35,Allianz SE,Insurance
11,19.01.2025,RECHNUNG VODAFONE GMBH 6596850,-40.97,VODAFONE GMBH,Internet
11,21.01.2025,MCDONALDS Gießen,-24.25,MCDONALDS,Dining
11,22.01.2025,PAYPAL PWWSAS,-70.05,PAYPAL,General
12,25.04.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.83,ZEUS BODYPOWER,Gym
12,26.04.2024,AMAZON.DE MKTPLC EU XVBLQL,-19.61,AMAZON.DE,Shopping
12,30.04.2024,BEITRAG Allianz SE K-44726137,-55.71,Allianz SE,Insurance
13,04.04.2024,PAYPAL EREXGY,-59.67,PAYPAL,General
13,05.04.2024,MCDONALDS Luckenwalde,-18.44,MCDONALDS,Dining
13,09.04.2024,PAYPAL IXHYMM,-37.78,PAYPAL,General
13,13.04.2024,ABSCHLAG STROM Stadtwerke Rosenheim 84333501,-86.06,Stadtwerke Rosenheim,Electricity
13,14.04.2024,KARTENZAHLUNG SHELL TANKSTELLE,-68.64,SHELL,Fuel
14,23.07.2025,ABSCHLAG STROM Stadtwerke Rosenheim 58924974,-85.09,Stadtwerke Rosenheim,Electricity
14,26.07.2025,BEITRAG Allianz SE K-145769,-54.2,Allianz SE,Insurance
14,28.07.2025,KARTENZ./28.07 LIDL RO,-39.7,LIDL,Groceries
14,01.08.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.3,ZEUS BODYPOWER,Gym
15,28.03.2024,MCDONALDS Gräfenhainichen,-26.68,MCDONALDS,Dining
15,01.04.2024,BEITRAG Allianz SE K-8042898,-54.32,Allianz SE,Insurance
15,02.04.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.62,ZEUS BODYPOWER,Gym
15,05.04.2024,ABSCHLAG STROM Stadtwerke Rosenheim 84255032,-86.77,Stadtwerke Rosenheim,Electricity
16,02.04.2024,KARTENZ./02.04 EDEKA RO,-53.98,EDEKA,Groceries
16,05.04.2024,MCDONALDS Goslar,-35.4,MCDONALDS,Dining
16,07.04.2024,BURGER KING Hildesheim,-42.92,BURGER KING,Dining
16,09.04.2024,PAYPAL JRTFJM,-37.26,PAYPAL,General
16,12.04.2024,KARTENZ./12.04 REWE RO,-128.32,REWE,Groceries
16,16.04.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.39,ZEUS BODYPOWER,Gym
17,14.01.2024,ABSCHLAG STROM Stadtwerke Rosenheim 24707432,-85.97,Stadtwerke Rosenheim,Electricity
17,18.01.2024,AMAZON.DE MKTPLC EU KBTCTF,-74.37,AMAZON.DE,Shopping
17,21.01.2024,KARTENZAHLUNG JET TANKSTELLE,-48.71,JET,Fuel
17,25.01.2024,AMAZON.DE MKTPLC EU XDBTFK,-214.06,AMAZON.DE,Shopping
18,25.03.2024,PAYPAL YULXRI,-72.62,PAYPAL,General
18,28.03.2024,PAYPAL AJKVRS,-24.82,PAYPAL,General
18,31.03.2024,ABSCHLAG STROM Stadtwerke Rosenheim 58234010,-86.26,Stadtwerke Rosenheim,Electricity
18,04.04.2024,RECHNUNG VODAFONE GMBH 95129290,-40.07,VODAFONE GMBH,Internet
18,05.04.2024,PAYPAL UZMMSE,-42.38,PAYPAL,General
19,10.08.2024,BURGER KING Hofgeismar,-40.03,BURGER KING,Dining
19,14.08.2024,KARTENZ./14.08 EDEKA RO,-109.05,EDEKA,Groceries
19,15.08.2024,PAYPAL TCZFMB,-52.1,PAYPAL,General
19,19.08.2024,RECHNUNG VODAFONE GMBH 52028385,-41.7,VODAFONE GMBH,Internet
19,22.08.2024,BEITRAG Allianz SE K-14588052,-57.24,Allianz SE,Insurance
20,06.04.2024,ABSCHLAG STROM Stadtwerke Rosenheim 68597295,-84.08,Stadtwerke Rosenheim,Electricity
20,08.04.2024,KARTENZAHLUNG SHELL TANKSTELLE,-49.79,SHELL,Fuel
20,12.04.2024,PAYPAL EDQVHM,-99.98,PAYPAL,General
20,15.04.2024,AMAZON.DE MKTPLC EU ZLWRIT,-163.94,AMAZON.DE,Shopping
20,16.04.2024,PAYPAL MLDIXC,-93.96,PAYPAL,General
20,19.04.2024,KARTENZ./19.04 REWE RO,-143.96,REWE,Groceries
21,08.03.2025,ZALANDO MKTPLC EU NYHWMA,-44.67,ZALANDO,Shopping
21,11.03.2025,KARTENZAHLUNG SHELL TANKSTELLE,-77.68,SHELL,Fuel
21,13.03.2025,BURGER KING Wittmund,-13.8,BURGER KING,Dining
21,15.03.2025,KARTENZAHLUNG JET TANKSTELLE,-88.57,JET,Fuel
21,16.03.2025,RECHNUNG VODAFONE GMBH 50467717,-40.52,VODAFONE GMBH,Internet
21,20.03.2025,ABSCHLAG STROM Stadtwerke Rosenheim 18385497,-83.01,Stadtwerke Rosenheim,Electricity
22,24.11.2023,KARTENZAHLUNG SHELL TANKSTELLE,-58.63,SHELL,Fuel
22,27.11.2023,BEITRAG Allianz SE K-28252062,-54.58,Allianz SE,Insurance
22,01.12.2023,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.16,ZEUS BODYPOWER,Gym
22,05.12.2023,KARTENZAHLUNG ARAL TANKSTELLE,-62.42,ARAL,Fuel
22,06.12.2023,KARTENZAHLUNG SHELL TANKSTELLE,-69.94,SHELL,Fuel
22,09.12.2023,KARTENZAHLUNG JET TANKSTELLE,-44.02,JET,Fuel
23,04.12.2024,KARTENZ./04.12 LIDL RO,-58.42,LIDL,Groceries
23,08.12.2024,ZALANDO MKTPLC EU DHYANA,-165.9,ZALANDO,Shopping
23,12.12.2024,ABSCHLAG STROM Stadtwerke Rosenheim 26013271,-84.68,Stadtwerke Rosenheim,Electricity
23,14.12.2024,PAYPAL TBFUNN,-68.15,PAYPAL,General
23,16.12.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.03,ZEUS BODYPOWER,Gym
23,20.12.2024,EBAY MKTPLC EU UDNLJK,-101.29,EBAY,Shopping
24,05.04.2025,KARTENZ./05.04 EDEKA RO,-55.03,EDEKA,Groceries
24,07.04.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.26,ZEUS BODYPOWER,Gym
24,10.04.2025,KARTENZ./10.04 REWE RO,-92.45,REWE,Groceries
24,14.04.2025,BURGER KING Dachau,-18.87,BURGER KING,Dining
25,22.01.2024,RECHNUNG VODAFONE GMBH 28076163,-39.11,VODAFONE GMBH,Internet
25,25.01.2024,PAYPAL VTNIJO,-74.25,PAYPAL,General
25,27.01.2024,KARTENZAHLUNG JET TANKSTELLE,-59.95,JET,Fuel
25,30.01.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.27,ZEUS BODYPOWER,Gym
25,02.02.2024,AMAZON.DE MKTPLC EU AWHPYH,-204.18,AMAZON.DE,Shopping
25,03.02.2024,BEITRAG Allianz SE K-18086548,-55.75,Allianz SE,Insurance
26,12.12.2023,KARTENZAHLUNG SHELL TANKSTELLE,-57.95,SHELL,Fuel
26,16.12.2023,BEITRAG Allianz SE K-67927348,-52.73,Allianz SE,Insurance
26,19.12.2023,MCDONALDS Gera,-31.83,MCDONALDS,Dining
26,20.12.2023,PAYPAL VZJBVK,-89.42,PAYPAL,General
26,24.12.2023,PAYPAL SQDPLP,-51.64,PAYPAL,General
27,03.10.2023,KARTENZ./03.10 ALDI SUED RO,-72.99,ALDI SUED,Groceries
27,06.10.2023,KARTENZAHLUNG JET TANKSTELLE,-43.74,JET,Fuel
27,07.10.2023,PAYPAL FUJGLE,-28.88,PAYPAL,General
