statement_id,date,description,amount,identified_partner,category
2,10.10.2025,ZALANDOMKTPLCEUPDWDPT,-229.56,ZALANDO,Shopping
2,14.10.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-24.59,ZEUS BODYPOWER,Gym
2,18.10.2025,AMAZON.DEMKTPLCEUKHOELW,-89.56,AMAZON.DE,Shopping
4,06.03.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-6883652.0,Stadtwerke Rosenheim,Electricity
4,10.03.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.64,ZEUS BODYPOWER,Gym
4,13.03.2025,BURGER KING Duderstadt,-28.21,BURGER KING,Dining
5,03.12.2025,BEITRAGAllianzSEK-77055030,-52.83,ALLIANZ SE,Insurance
5,06.12.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-26.29,ZEUS BODYPOWER,Gym
5,10.12.2025,ABSCHLAGSTROMStadtwerkeRosenheim78173155,-86.76,Stadtwerke Rosenheim,Electricity
5,13.12.2025,PAYPALULQMPC,-48.26,PAYPAL,General
5,17.12.2025,KARTENZAHLUNGJETTANKSTELLE,-49.9,JET,Fuel
6,10.07.2025,BURGERKINGBremervorde,-20.41,BURGER KING,Dining
6,13.07.2025,PAYPALKCDZOA,-44.16,PAYPAL,General
6,16.07.2025,MCDONALDSGitersloh,-28.39,MCDONALDS,Dining
6,19.07.2025,BEITRAGAllianzSEK-65230895,-55.65,ALLIANZ SE,Insurance
7,25.07.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-26.67,ZEUS BODYPOWER,Gym
7,29.07.2025,BURGERKINGSternberg,-30.3,BURGER KING,Dining
7,01.08.2025,KARTENZAHLUNGJETTANKSTELLE,-66.72,JET,Fuel
7,02.08.2025,KARTENZ.02.08ALDISUEDRO,-146.0,ALDI SUED,Groceries
10,13.01.2025,RECHNUNGVODAFONEGMBH80189934,-42.38,VODAFONE GMBH,Internet
10,14.01.2025,PAYPALNVAEWT,-79.06,PAYPAL,General
10,15.01.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-27.04,ZEUS BODYPOWER,Gym
11,12.09.2025,ZALANDO MKTPLC EU BACHKX,-111.17,ZALANDO,Shopping
11,14.09.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-20189479.0,Stadtwerke Rosenheim,Electricity
11,15.09.2025,KARTENZ./15.09 LIDL RO,-82.93,LIDL,Groceries
11,18.09.2025,MCDONALDS Goppingen,-44.77,MCDONALDS,Dining
11,20.09.2025,RECHNUNG VODAFONE GMBH,-51496512.0,VODAFONE GMBH,Internet
11,23.09.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-27.06,ZEUS BODYPOWER,Gym
12,04.10.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-23.18,ZEUS BODYPOWER,Gym
12,08.10.2025,KARTENZ./08.10 EDEKARO,-103.38,EDEKA,Groceries
12,12.10.2025,PAYPAL OMKLXQ,-96.1,PAYPAL,General
12,15.10.2025,EBAY MKTPLC EU WFGWFS,-62.79,EBAY,Shopping
12,16.10.2025,KARTENZAHLUNG ARAL TANKSTELLE,-54.0,ARAL,Fuel
13,09.03.2025,PAYPAL KLKIIA,-68.84,PAYPAL,General
13,11.03.2025,KARTENZAHLUNG ARAL TANKSTELLE,-49.88,ARAL,Fuel
13,14.03.2025,RECHNUNG VODAFONE GMBH,-18605008.0,VODAFONE GMBH,Internet
15,24.12.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-12851347.0,Stadtwerke Rosenheim,Electricity
15,25.12.2025,PAYPAL OZZIQL,-10.66,PAYPAL,General
15,29.12.2025,KARTENZ./29.12 EDEKA RO,-33.85,EDEKA,Groceries
16,29.06.2025,ZALANDOMKTPLCEUTUZYLL,-162.41,ZALANDO,Shopping
16,01.07.2025,KARTENZAHLUNGARALTANKSTELLE,-51.91,ARAL,Fuel
16,02.07.2025,PAYPALNUGGZZ,-55.0,PAYPAL,General
16,04.07.2025,KARTENZ.04.07EDEKARO,-130.56,EDEKA,Groceries
16,06.07.2025,ABSCHLAGSTROMStadtwerkeRosenheim15037280,-87.0,Stadtwerke Rosenheim,Electricity
16,07.07.2025,MCDONALDSBayreuth,-23.13,MCDONALDS,Dining
17,18.01.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-65799608.0,Stadtwerke Rosenheim,Electricity
17,20.01.2025,RECHNUNG VODAFONE GMBH,-88000834.0,VODAFONE GMBH,Internet
17,21.01.2025,KARTENZAHLUNG JET TANKSTELLE,-57.71,JET,Fuel
19,24.04.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-8259975.0,Stadtwerke Rosenheim,Electricity
19,25.04.2025,MCDONALDS Viersen,-35.72,MCDONALDS,Dining
19,29.04.2025,RECHNUNG VODAFONE GMBH,-45470027.0,VODAFONE GMBH,Internet
19,02.05.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.4,ZEUS BODYPOWER,Gym
19,05.05.2025,PAYPAL IYXRCE,-46.74,PAYPAL,General
20,09.11.2025,KARTENZ./09.11 REWE RO,-76.59,REWE,Groceries
20,11.11.2025,PAYPAL MZYMBO,-31.73,PAYPAL,General
20,12.11.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-39764593.0,Stadtwerke Rosenheim,Electricity
21,07.11.2025,AMAZON.DEMKTPLCEUSEWMYQ,-71.98,AMAZON.DE,Shopping
21,11.11.2025,ABSCHLAGSTROMStadtwerkeRosenheim23760446,-83.32,Stadtwerke Rosenheim,Electricity
21,15.11.2025,PAYPALVEKXEJ,-21.47,PAYPAL,General
22,08.07.2025,PAYPAL IOCIHZ,-92.06,PAYPAL,General
22,11.07.2025,RECHNUNG VODAFONE GMBH,-62702506.0,VODAFONE GMBH,Internet
22,14.07.2025,PAYPAL DGAPZG,-63.31,PAYPAL,General
22,17.07.2025,KARTENZ./17.07 LIDL RO,-63.03,LIDL,Groceries
22,19.07.2025,ZALANDO MKTPLC EU LXDCGR,-27.55,ZALANDO,Shopping
23,18.07.2025,MCDONALDS Sondershausen,-12.17,MCDONALDS,Dining
23,22.07.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-80000741.0,Stadtwerke Rosenheim,Electricity
23,24.07.2025,RECHNUNG VODAFONE GMBH,-77890686.0,VODAFONE GMBH,Internet
23,28.07.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.56,ZEUS BODYPOWER,Gym
27,01.01.2025,EBAYMKTPLCEUMOIDHN,-181.38,EBAY,Shopping
27,03.01.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-26.91,ZEUS BODYPOWER,Gym
27,05.01.2025,KARTENZAHLUNGJETTANKSTELLE,-83.73,JET,Fuel
28,17.01.2025,AMAZON.DEMKTPLCEUAZHJVM,-150.88,AMAZON.DE,Shopping
28,18.01.2025,PAYPALUCQEZL,-85.62,PAYPAL,General
28,20.01.2025,RECHNUNGVODAFONEGMBH27303001,-39.62,VODAFONE GMBH,Internet
28,24.01.2025,KARTENZ.24.01EDEKARO,-95.24,EDEKA,Groceries
29,16.04.2025,AMAZON.DE MKTPLC EU YFSNFY,-11.28,AMAZON.DE,Shopping
29,19.04.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-23.03,ZEUS BODYPOWER,Gym
29,20.04.2025,RECHNUNG VODAFONE GMBH,-84670347.0,VODAFONE GMBH,Internet
29,21.04.2025,PAYPAL AOCDEY,-49.48,PAYPAL,General
29,25.04.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-75572099.0,Stadtwerke Rosenheim,Electricity
29,27.04.2025,PAYPAL NWJHSP,-41.35,PAYPAL,General
31,08.04.2025,BURGERKINGWertingen,-21.82,BURGER KING,Dining
31,10.04.2025,KARTENZ.10.04LIDLRO,-132.11,LIDL,Groceries
